Incident ID,Claimed At,User Token
1,2026-01-17T09:45:31.041Z,4877c6a3-07ad-4647-826e-9bd4b3a25aa0
2,2026-01-17T09:49:32.656Z,aedee240-320d-453d-8710-fa673ca131c0
3,2026-01-17T09:50:11.862Z,8a5a3f55-4ca6-4092-87d2-6a087061df3c
4,2026-01-17T09:50:53.232Z,bfc303c6-c488-4890-81d5-5b699f6931c8
5,2026-01-17T10:05:11.042Z,3f49e008-0f81-42f9-9d77-e78fc145a289
6,2026-01-17T10:25:53.550Z,9bc1942b-8653-4727-a489-b62d3c873b08
7,2026-01-17T10:31:31.792Z,b83d3804-8d51-402c-926e-cc6308503cb2
8,2026-01-17T11:37:50.119Z,1fe10981-7d26-4d52-af94-f73d59550c55
9,2026-01-17T23:58:31.809Z,98245265-7d0f-4d8b-9adc-42ae2f069c1e
10,2026-01-18T00:31:06.198Z,07020d83-79bb-4444-b21e-4562046de4a2
11,2026-01-18T00:31:15.975Z,77782cf5-abf1-443e-b08e-5b671cbb9abd
12,2026-01-19T20:56:13.378Z,0cce1475-66cb-4f62-a9f6-d5a08d935658
13,2026-01-20T12:48:20.666Z,bbb1c8b5-dea5-4d30-9497-aadcdafcb0eb
14,2026-01-21T18:22:57.610Z,880cee13-8fc6-4263-8444-9f5caa2aaaf4
