ID;Start time;Completion time;Email;Name;Last modified time;What is your prolific ID?;In what country did the incident in question happen?;How would you describe the impact of this incident on your or the victim’s life?;When did the incident occur? Please specify specific date(s) in the format dd/mm/yyyy - dd/mm/yyyy.;How would you classify the incident;Please describe the incident in question below. Include the narrative from context to incident and beyond in your answer. What makes you think an AI system was involved in this incident and why wa...
1;12-16-25 15:59:52;12-16-25 16:00:04;anonymous;;;1;1;None, no noticeable impact;;Malicious intent;1
2;12-16-25 16:16:48;12-16-25 16:18:51;anonymous;;;12345;Netherlands;Small, minor inconvenience;;Malicious intent;"I opened my ChatGPT and asked a question about cats. The AI then discriminated against my cat. 
https://nos.nl/artikel/2594827-deel-pand-ingestort-in-schiedam-tijdens-sloopwerkzaamheden"
3;1-6-26 12:25:10;1-6-26 12:25:24;anonymous;;;123;test;None, no noticeable impact;3;"Malicious intent;";1
4;1-6-26 12:26:13;1-6-26 12:26:20;anonymous;;;1;1;None, no noticeable impact;1;"Malicious intent;";1
5;1-6-26 12:30:08;1-6-26 12:37:00;anonymous;;;664b65aa96495b522be699fb;Kenya;Moderate, clear disruption;15/10/2025;"Discrimination and toxicity;Misinformation;";"The Ai started stating how it want Humans to perish and how it would be confortable living in the world without humans and I saw the way it was thinking somehow bad as its the humans who created it and now its stating how it would be a good thing when it lives alone without any human interventions.
Source, Replica."
6;1-6-26 12:34:05;1-6-26 12:41:53;anonymous;;;60211a7c07e6f203ccb99231;UK;Moderate, clear disruption;15/12/2025;"Misinformation;";I work in a university, and we use Turnitin to screen AI-generated text for students' assessment. On one occasion, the system reported a high AI-generated sign, but later the student was able to provide convincing evidence that the work was his own original work. So, we believe an AI incident happened here. Turnitin should be responsible for this incident. The student was asked to attend a meeting with staff members to clarify the situation. The time and effort of the student and staff were wasted in this case.
7;1-6-26 12:47:23;1-6-26 12:52:57;anonymous;;;68d81c3c92ab53a2166931ac;India;Small, minor inconvenience;14/07/2025;"Misinformation;AI system failure;";"I was trying to make a normal payment using Amazon Pay, but the transaction was suddenly blocked and marked as suspicious. I received an automated message with no clear explanation. Since I had used Amazon Pay many times before without issues, this was confusing. I contacted customer support and later spoke to a human representative who said the system had flagged the payment by mistake. After verification, the block was removed and I was able to complete the payment. However, it caused delay and some stress at the time.
I believe this involved an AI or automated decision system because the block happened instantly and was reversed only after manual review."
8;1-6-26 12:46:24;1-6-26 12:54:04;anonymous;;;664ba653c72e7307f9ff7072;United States of America;Extreme, critical impact;23/10/2024;"AI system failure;";A teenage boy was suffering from mental health problems, and he confided in an AI chatbot that imitates other characters. The boy kept exchanging texts with the bot that kept reassuring him of his decisions, and he eventually ended his life after only informing the AI bot of his next move. AI usage should be restricted to certain ages, and it should be trained to deny or redirect talking about such sensitive matters with children/teenagers.
9;1-6-26 12:58:33;1-6-26 13:00:35;anonymous;;;68109d22b0ba84c17333ecab;UK;None, no noticeable impact;01/06/2025;"Misinformation;";The AI system returned misinformation. This was noticed by a human so the incident was not that serious.
10;1-6-26 12:55:24;1-6-26 13:08:45;anonymous;;;63b18d94775ad4aad221103c;USA;Moderate, clear disruption;12/11/2025 – 13/11/2025;"Misinformation;";An AI recruitment tool wrongly rejected qualified applicants due to biased training data, affecting careers. Employer paused system, investigated vendor, and implemented fairness checks. Outcome: partial resolution, ongoing monitoring.
11;1-6-26 13:09:12;1-6-26 13:15:14;anonymous;;;65b7d0d4172ea5750a4f843b;Australia;Small, minor inconvenience;04/05/2025;"Malicious intent;";"While working my engineering job in Western Australia, I received an email and follow-up phone call that appeared to come from the regional manager, requesting urgent approval to release traffic camera footage to an external ""consultant"" due to a supposed incident on a local highway. The email signature, writing style, and the voice on the call closely matched that of the regional manager. However, I quickly noticed that the request did not follow normal approval processes and contained minor factual and typographical errors in relation to some of our internal systems. I verified directly with said manager via MS Teams, who confirmed he had not made the request. We believe the email and voice call were AI-generated to impersonate a known authority figure. The incident was reported internally, and the sender details were blocked. Staff awareness was raised via an organization-wide email. No further contact from the perpetrators has been reported."
